method,trial,generation,val
CMA-ES,0,0,0.0917
CMA-ES,0,1,0.07040000000000002
CMA-ES,0,2,0.048699999999999966
CMA-ES,0,3,0.03490000000000004
CMA-ES,0,4,0.03490000000000004
CMA-ES,0,5,0.03490000000000004
CMA-ES,0,6,0.03490000000000004
CMA-ES,0,7,0.03490000000000004
CMA-ES,0,8,0.03490000000000004
CMA-ES,0,9,0.03490000000000004
CMAwM,0,0,0.03869999999999996
CMAwM,0,1,0.03869999999999996
CMAwM,0,2,0.03869999999999996
CMAwM,0,3,0.03869999999999996
CMAwM,0,4,0.03869999999999996
CMAwM,0,5,0.03869999999999996
CMAwM,0,6,0.03869999999999996
CMAwM,0,7,0.03869999999999996
CMAwM,0,8,0.03869999999999996
CMAwM,0,9,0.03080000000000005
