method,trial,generation,val
CMA-ES,0,0,0.6443
CMA-ES,0,1,0.6443
CMA-ES,0,2,0.6443
CMA-ES,0,3,0.6443
CMA-ES,0,4,0.6034999999999999
CMAwM,0,0,0.7671
CMAwM,0,1,0.7671
CMAwM,0,2,0.7671
CMAwM,0,3,0.7615000000000001
CMAwM,0,4,0.6549
CMA-ES,1,0,0.716
CMA-ES,1,1,0.6326
CMA-ES,1,2,0.6326
CMA-ES,1,3,0.6326
CMA-ES,1,4,0.6187
CMAwM,1,0,0.5614
CMAwM,1,1,0.5614
CMAwM,1,2,0.5614
CMAwM,1,3,0.5614
CMAwM,1,4,0.5614
CMA-ES,2,0,0.7131000000000001
CMA-ES,2,1,0.7131000000000001
CMA-ES,2,2,0.7131000000000001
CMA-ES,2,3,0.7131000000000001
CMA-ES,2,4,0.661
CMAwM,2,0,0.6419
CMAwM,2,1,0.6419
CMAwM,2,2,0.6419
CMAwM,2,3,0.6419
CMAwM,2,4,0.6419
