method,trial,generation,val
CMA-ES,0,0,0.05879999999999996
CMA-ES,0,1,0.048799999999999955
CMA-ES,0,2,0.048799999999999955
CMA-ES,0,3,0.048799999999999955
CMA-ES,0,4,0.048799999999999955
CMA-ES,0,5,0.04049999999999998
CMA-ES,0,6,0.04049999999999998
CMA-ES,0,7,0.04049999999999998
CMA-ES,0,8,0.04049999999999998
CMA-ES,0,9,0.04049999999999998
CMAwM,0,0,0.16610000000000003
CMAwM,0,1,0.07440000000000002
CMAwM,0,2,0.07440000000000002
CMAwM,0,3,0.07440000000000002
CMAwM,0,4,0.07440000000000002
CMAwM,0,5,0.07440000000000002
CMAwM,0,6,0.07440000000000002
CMAwM,0,7,0.07320000000000004
CMAwM,0,8,0.07320000000000004
CMAwM,0,9,0.07320000000000004
CMA-ES,1,0,0.08699999999999997
CMA-ES,1,1,0.06289999999999996
CMA-ES,1,2,0.05020000000000002
CMA-ES,1,3,0.05020000000000002
CMA-ES,1,4,0.05020000000000002
CMA-ES,1,5,0.05020000000000002
CMA-ES,1,6,0.03869999999999996
CMA-ES,1,7,0.03869999999999996
CMA-ES,1,8,0.03869999999999996
CMA-ES,1,9,0.03869999999999996
CMAwM,1,0,0.03649999999999998
CMAwM,1,1,0.03649999999999998
CMAwM,1,2,0.03649999999999998
CMAwM,1,3,0.03649999999999998
CMAwM,1,4,0.03649999999999998
CMAwM,1,5,0.03649999999999998
CMAwM,1,6,0.03649999999999998
CMAwM,1,7,0.03649999999999998
CMAwM,1,8,0.03649999999999998
CMAwM,1,9,0.03649999999999998
CMA-ES,2,0,0.05740000000000001
CMA-ES,2,1,0.05740000000000001
CMA-ES,2,2,0.05740000000000001
CMA-ES,2,3,0.05369999999999997
CMA-ES,2,4,0.05369999999999997
CMA-ES,2,5,0.05369999999999997
CMA-ES,2,6,0.03400000000000003
CMA-ES,2,7,0.03400000000000003
CMA-ES,2,8,0.03400000000000003
CMA-ES,2,9,0.03400000000000003
CMAwM,2,0,0.07540000000000002
CMAwM,2,1,0.05940000000000001
CMAwM,2,2,0.04500000000000004
CMAwM,2,3,0.04500000000000004
CMAwM,2,4,0.04500000000000004
CMAwM,2,5,0.04500000000000004
CMAwM,2,6,0.04500000000000004
CMAwM,2,7,0.04500000000000004
CMAwM,2,8,0.04500000000000004
CMAwM,2,9,0.03990000000000005
CMA-ES,3,0,0.07850000000000001
CMA-ES,3,1,0.07850000000000001
CMA-ES,3,2,0.07850000000000001
CMA-ES,3,3,0.07850000000000001
CMA-ES,3,4,0.0615
CMA-ES,3,5,0.0615
CMA-ES,3,6,0.018199999999999994
CMA-ES,3,7,0.018199999999999994
CMA-ES,3,8,0.018199999999999994
CMA-ES,3,9,0.018199999999999994
CMAwM,3,0,0.10970000000000002
CMAwM,3,1,0.09860000000000002
CMAwM,3,2,0.09860000000000002
CMAwM,3,3,0.09860000000000002
CMAwM,3,4,0.08099999999999996
CMAwM,3,5,0.05020000000000002
CMAwM,3,6,0.05020000000000002
CMAwM,3,7,0.05020000000000002
CMAwM,3,8,0.05020000000000002
CMAwM,3,9,0.05020000000000002
CMA-ES,4,0,0.06920000000000004
CMA-ES,4,1,0.06840000000000002
CMA-ES,4,2,0.06840000000000002
CMA-ES,4,3,0.06840000000000002
CMA-ES,4,4,0.0655
CMA-ES,4,5,0.0655
CMA-ES,4,6,0.02849999999999997
CMA-ES,4,7,0.02849999999999997
CMA-ES,4,8,0.02849999999999997
CMA-ES,4,9,0.02849999999999997
CMAwM,4,0,0.24109999999999998
CMAwM,4,1,0.15880000000000005
CMAwM,4,2,0.07069999999999999
CMAwM,4,3,0.07069999999999999
CMAwM,4,4,0.05630000000000002
CMAwM,4,5,0.05630000000000002
CMAwM,4,6,0.05630000000000002
CMAwM,4,7,0.054200000000000026
CMAwM,4,8,0.054200000000000026
CMAwM,4,9,0.054200000000000026
