method,trial,generation,val
CMA-ES,0,0,0.05730000000000002
CMA-ES,0,1,0.049799999999999955
CMA-ES,0,2,0.049799999999999955
CMA-ES,0,3,0.026599999999999957
CMA-ES,0,4,0.026599999999999957
CMAwM,0,0,0.04359999999999997
CMAwM,0,1,0.040100000000000025
CMAwM,0,2,0.040100000000000025
CMAwM,0,3,0.040100000000000025
CMAwM,0,4,0.040100000000000025
CMA-ES,1,0,0.08740000000000003
CMA-ES,1,1,0.08740000000000003
CMA-ES,1,2,0.05389999999999995
CMA-ES,1,3,0.04710000000000003
CMA-ES,1,4,0.03190000000000004
CMAwM,1,0,0.16559999999999997
CMAwM,1,1,0.06889999999999996
CMAwM,1,2,0.06889999999999996
CMAwM,1,3,0.06889999999999996
CMAwM,1,4,0.06889999999999996
CMA-ES,2,0,0.10470000000000002
CMA-ES,2,1,0.07850000000000001
CMA-ES,2,2,0.06620000000000004
CMA-ES,2,3,0.06620000000000004
CMA-ES,2,4,0.0403
CMAwM,2,0,0.06030000000000002
CMAwM,2,1,0.06030000000000002
CMAwM,2,2,0.06030000000000002
CMAwM,2,3,0.06030000000000002
CMAwM,2,4,0.036900000000000044
